X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE
-122.118069810986,47.3592247237667,3460,650020,672195,65,Covington Police Department,Covington PD,16720 SE 271st St,98042
-122.23912374894,47.6153602806472,3461,650039,118339,65,Medina Police Department,Medina PD,501 Evergreen Point Rd,98039
-122.002583741457,47.3091174564795,3462,650040,637870,65,Black Diamond Police Department,Black Diamond PD,25510 Lawson St,98010
-122.229441912006,47.368648453746,3463,650052,662134,65,Corrections Facility (Jail),Corrections,1230 Central Ave S,98030
-122.353747706823,47.6139993031592,3464,6300004,835926,630,"Pier 69-Victoria Clipper, Port of Seat",Pier 69 - Victoria Clipper,2701 Alaskan Way,98121
-122.339578746841,47.6040968952198,3465,6300009,835908,630,"Piers 54,55-Ivars","Piers 54,55 - Ivars",1001 Alaskan Way,98104
-122.317062210215,47.6760750294146,3466,5410011,333328,530,Bartell Drugs-Roosevelt Square,Roosevelt,6401 12th Ave NE,98115
-122.336422037645,47.608565104769,3467,640008,434789,64,Post Office-Central,PO Central,301 Union St,98101
-122.344095838989,47.7199010003823,3468,630010,255135,63,Employment Security Dept-North Seattle,ESD-North Seattle,12550 Aurora Ave N,98133
-122.330500089891,47.6039511202996,3469,620005,455215,62,Municipal Court,Municipal Court,600 4th Ave,98104
-121.912938542943,47.7554903700218,3470,660083,123536,66,Station 68,68,18005 Mountain View Rd NE,98019
-122.102423714656,47.5693333413406,3471,660090,2404,66,Station 75,75,4225 180th Ave SE,98008
-122.360403205301,47.6519778528975,3472,1044,0000000,600,Ewing Park,Ewing Park,W Ewing St & 3rd Ave W,98119
-122.322485599377,47.6522233218205,3473,6006984,0000000,600,South Passage Point Park,South Passage Point Park,3320 Fuhrman Ave E,98102
-122.197354637055,47.6657122252031,3474,457,43404,210,Department of Licensing-Kirkland,DOL - Kirkland,NE 68th St & 106th Ave NE,98033
-122.344753249253,47.6349913630265,3475,6007128,0000000,600,Northeast Queen Anne Greenbelt,Northeast Queen Anne Greenbelt,"Dexter Way N, Lynn St-Wheeler",98109
-122.187222744798,47.7426301179707,3476,2210,0000000,510,Brickyard Freeway Station,Brickyard Freeway Station,NE 160th St & I-405,98011
-122.335439010426,47.6076874911031,3477,1831,833526,60,Seattle Tower,Seattle Tower,3rd Ave & University St,98101
-122.106512302652,47.5710369230417,3478,230,0000000,600,Sunrise Park,Sunrise Park,W Lake Sammamish Pkwy SE,98008
-122.209354042367,47.6801688503548,3479,483,37912,60,Peter Kirk Building,Peter Kirk Building,Market St & 7th Ave,98033
-122.333879339145,47.6061472001753,3480,2443,443955,64,Seafirst Post Office,Seafirst Post Office,1001 4th Ave,98104
-122.174313878843,47.7320954752361,3481,2073,843317,530,Bartell Drugs-Kingsgate,Bartell Drugs-Kingsgate,14440 124th Ave NE,98034
-122.217493498821,47.6337257755211,3482,6005065,0000000,600,Clyde Hill View Park,Clyde Hill View Park,8394 North Fork Rd SE,00000
-122.35666891198,47.6611094894029,3483,6006991,0000000,600,Fremont Peak Park,Fremont Peak Park,4357 Palatine Ave N,98103
-122.338720806589,47.6150576509811,3484,1838,435566,360,Sixth Ave Inn,Sixth Ave Inn,6th Ave & Virginia St,98121
-122.336748848765,47.6048541928466,3485,1480,831952,360,Kimpton Alexis Hotel,Kimpton Alexis Hotel,1007 1st Ave,98104
-122.290106364158,47.6126408500119,3486,1069,439359,390,Madrona-Sally Goodmark Library,Madrona-Sally Goodmark Lib,1134 33rd Ave,98122
-122.229935864645,47.4680568149605,3487,630009,741410,63,Employment Security Dept-Renton,ESD-Renton,919 SW Grady Way,98057
-122.345632377959,47.7094541132373,3488,1200048,276736,120,Evergreen-Washelli Cemetery,Washelli,11111 Aurora Ave N,98133
-122.050298223794,47.5402306337579,3489,3900073,572537,390,KCLS Service Center,KCLS Service Center,960 Newport Way NW,98027
-122.327230146045,47.7022584253631,3490,580008,251994,580,Northgate Transit Center P&R with bicycle lockers,Northgate Transit Center P&R,10200 1st Ave NE,98125
-122.441187098979,47.4168888284191,3491,6005509,0000000,600,Ellis Creek Natural Area,Ellis Creek Natural Area,SW Ellisport Rd and Dockton Rd SW,98070
-122.295356293393,47.7208737827281,3492,2422,250394,64,Lake City Post Office,Lake City Post Office,3019 NE 127th St,98125
-122.291197580356,47.4656104612615,3493,2442,400161,64,Riverton Heights Post Office,Riverton Heights Post Office,15250 32nd Ave S,98188
-122.057828387763,47.5507308013469,3494,350,572756,360,Holiday Inn-Issaquah,Holiday Inn-Issaquah,1801 12th Ave NW,98027
-122.201895149537,47.6766471748205,3495,484,0000000,600,Peter Kirk Park,Peter Kirk Park,202 3rd St & Kirkland Ave,98033
-122.152532657465,47.734269288766,3496,454,83994,720,Covey Run Winery,Covey Run Winery,107 Central Way NE,98072
-122.121137477203,47.5982395782634,3497,224,0000000,600,Lake Hills Park,Lake Hills Park,SE Phantom Way & 164th Ave SE,98008
-122.247430601397,47.4566608259051,3498,1316,0000000,600,Bicentennial Park,Bicentennial Park in Tukwila,Christensen Rd & Strander Blvd SE,98138
-122.190845120011,47.28904279864,3499,2231,716884,530,Auburn QFC,Auburn QFC,2902 Auburn Way S,98002
-121.978536642744,47.3576521137448,3500,2435,862130,64,Ravensdale Post Office,Ravensdale Post Office,27200 272nd Ave SE,98051
-122.091272433572,47.6639800199591,3501,641,0000000,600,Sportsman Park,Sportsman Park,187th Ave NE & NE 65th St,98052
-122.3878198856,47.6326398132517,3502,1380,0000000,600,Smith Cove Park,Smith Cove Park,W Marina Pl & 21st Ave W,98119
-122.154348573048,47.3718312300314,3503,660115,664099,66,Station 72,72,25620 140th Ave SE,98042
-122.179575638951,47.5074208048257,3504,711,0000000,600,North Highlands Park,North Highlands Park,NE 16th St & Kirkland Ave NE,98056
-122.398774768654,47.6427963950553,3505,2226,758839,600,Lowery C Pops Mounger Pool,Lowery C Pops Mounger Pool,2535 32nd Ave W,98199
-122.349157082935,47.7264528256991,3506,2218,264763,60,Four Freedoms House,Four Freedoms House,747 N 135th St,98133
-122.106417082215,47.6949213661156,3507,632,568136,662,Redmond High School,Redmond High,17272 NE 104th St,98052
-122.350196996329,47.7546994495759,3508,1156,16155,662,Shorewood High School,Shorewood,17300 Fremont Ave N,98133
-122.353651597536,47.7567264308331,3509,1157,184012,660,St. Luke School,St. Luke,17533 Saint Luke Pl N,98133
-122.323515576653,47.4433650269867,3510,6600246,755534,665,Highline School Facility Services,Facility Services,17810 8th Ave S,98148
-122.10197415934,47.6247409528364,3511,213,70,660,Bennett Elementary School,Bennett,17900 NE 16th St,98008
-121.874091577687,47.5495532412863,3512,6002964,0000000,600,Preston Snoqualmie Trail Site,Preston Snoqualmie Trail Site,"SE High Point Way, North of SE 82nd St to 372nd SE and SE 6",98027
-121.993704869368,47.595778160412,3513,6005095,0000000,600,Beaver Lake Preserve Park,Beaver Lake Preserve Park,West Beaver Lake Dr SE & SE 16th St,98075
-122.460257165664,47.4519420769233,3514,570013,406098,570,Ober Park Annex (Vashon Parks Dept)  P&R,Ober Park Annex (Vashon Parks Dept) P&R,17130 Vashon Hwy SW,98070
-122.257490148639,47.302090406672,3515,570095,0000000,570,Peasley Canyon Rd/West Valley Hwy P&R,Peasley Canyon Rd/West Valley Hwy P&R,Peasley Canyon Rd/West Valley Hwy,98001
-122.225240646585,47.5414890355953,3516,570115,193361,570,South Mercer Center - Mercer Island QFC P&R,S Mercer Center-Mercer Island QFC P&R,8421 SE 68th St,98040
-122.061671740845,47.5418595377934,3517,500010,986831,500,Issaquah Transit Center,Issaquah Transit Center,1050 17th Ave NW,98027
-122.337076235426,47.4701536846732,3518,500012,606215,500,Burien Transit Center,Burien Transit Center,209 SW 148th St,98166
-121.423549993807,47.4447278906441,3519,9990001,0000000,999,Alpental Resort,Alpental Resort,Snoqualmie Valley,00000
-122.021933656382,47.5361037501781,3520,3300065,991032,330,Swedish-Issaquah ER,Swedish-Issaquah ER,751 NE Blakely Dr,98029
-122.196255455037,47.4415046036018,3521,10000005,898633,66,Station 13,13,18002 108th Ave SE,98055
-121.414377406508,47.4249704119606,3522,10000007,24500,66,Station 291,291,69802 SE Snoqualmie Pass Summit Rd,98065
-122.033284643151,47.5303351754117,3523,10000009,1009192,66,Station 71,71,190 E Sunset Way,98027
-121.839160265231,47.5349047893313,3524,10000010,194362,66,Station 281,281,37600 SE Snoqualmie Parkway,98065
-122.01319703414,47.5452000087407,3525,10000011,572055,66,Station 73,73,1280 NE Park Dr,98027
-122.235908742662,47.7908873414325,3526,10000012,722735,66,Station 44,44,330 228th St SW,98021
-122.212479280248,47.7998785454809,3527,10000013,724020,66,Station 45,45,1608 217th Pl SE,98021
-122.322178570626,47.5961283771679,3528,1634,1013565,330,International District Medical and Dental Clinic,Int'l Dist Med and Dental Clinic,720 8th Ave S,98104
-122.254521843505,47.4185655163854,3529,1508,615618,420,Boeing Kent,Boeing Kent,20403 68th Ave S,98032
-122.294889516455,47.4552807732987,3530,1344,401219,120,Washington Memorial Park Cemetery,Bonney Watson Memorial Park,16645 International Blvd,98158
-122.314679661714,47.6607319723017,3531,1813,333098,60,UW Tower,UW Tower,4333 Brooklyn Ave NE,98185
-122.343239292864,47.6129710488931,3532,1901,451914,63,Belltown DSHS,Belltown DSHS,2106 2nd Ave,98121
-122.331910889344,47.4609681891875,3533,350179,0000000,350,Albertson'S #411 (Grocery),Albertsons #411,15840 1ST AVE S,98148
-122.335167360201,47.4890853186105,3534,350183,0000000,350,Albertson'S #473 Bakery,Albertsons #473,12725 1ST AVE S,98146
-122.227004279814,47.2728361289062,3535,350186,0000000,350,Albertson'S #483 (Deli),Albertsons #483,4010 A ST SE,98002
-122.227004279814,47.2728361289062,3536,350187,0000000,350,Albertson'S #483 (Grocery),Albertsons #483,4010 A ST SE,98002
-122.227004279814,47.2728361289062,3537,350188,0000000,350,Albertson'S #483 (Meat),Albertsons #483,4010 A ST SE,98002
-122.157301969627,47.5036862293553,3538,350193,0000000,350,Albertson'S Food Ctr #453/Meat,Albertsons #453,4621 NE SUNSET BL,98059
-122.157172950546,47.2806569394266,3539,351114,0000000,350,Buena Vista / Sda School,Buena Vista Elementary,3320 ACADEMY DR SE,98092
-122.345065080676,47.6122333394918,3540,351116,0000000,350,Buffalo Deli,"Buffalo Deli; The",2123-B 1ST AVE,98121
-122.308140730294,47.3147894787172,3541,351118,0000000,350,"Buffalo Wild Wings; #419","Buffalo Wild Wings ; #419",2005 S 320TH ST,98003
-122.323486769744,47.5978588791134,3542,351123,0000000,350,Bun Llc,Bun Llc,516 7TH AVE S #A,98104
-122.106467999846,47.6666809986986,3543,351124,0000000,350,Buns @ Route 425-218-9791,Buns,6855 176TH AVE NE #270,98052
-122.358899760197,47.5212336794863,3544,351126,0000000,350,Burger Boss,Burger Boss,9061 DELRIDGE WAY SW,98106
-122.153592489457,47.7532958493492,3545,351679,0000000,350,Clay Oven,Clay Oven,17311 140TH AVE NE,98072
-122.313909830211,47.5523006691872,3546,351680,0000000,350,Cleveland High School,Cleveland High School,5511 15TH AVE S,98108
-122.344928120297,47.6138307792795,3547,351681,0000000,350,Clever Bottle,Clever Bottle,2222 2nd AVE #100,98121
-122.325849749506,47.6179346987107,3548,351682,0000000,350,Clever Dunnes,Clever Dunne'S,1501 E OLIVE WAY,98122
-122.353821609562,47.6140012790446,3549,351683,0000000,350,Clipper Cafe,Clipper Cafe,2711 ALASKAN WAY PIER 69,98121
-122.230062349386,47.3739229190176,3550,351684,0000000,350,Cloud 9,Cloud 9,806 S CENTRAL AVE,98032
-122.317936099756,47.6923136992041,3551,351685,0000000,350,Cloud City Coffee,Cloud City Coffee,8801 ROOSEVELT WAY NE,98115
-122.317936099756,47.6923136992041,3552,351686,0000000,350,Cloud City Coffee Sand Point,Cloud City Coffee,8801 ROOSEVELT WAY NE,98115
-122.344953919403,47.7514595787657,3553,351688,0000000,350,Club Hollywood Casino,Club Hollywood Casino,16716 AURORA AVE N,98133
-122.302009999756,47.4387599989952,3554,351689,0000000,350,Club International,Club International,17801 PACIFIC HWY S,98158
-122.199200739566,47.3721122888206,3555,351691,0000000,350,Clubhouse Sportsbar  & Grill,Clubhouse  Sportbar & Grill,10432 SE KENT KANGLEY RD B,98030
-122.211604120296,47.7565168188363,3556,350724,0000000,350,Beehive Espresso,Beehive Espresso,17716 BOTHELL WAY NE,98011
-122.293348590044,47.7219293386172,3557,350725,0000000,350,Beer Authority,"Beer Authority; Llc",12720 LAKE CITY WAY NE,98125
-122.387051399835,47.5625385493773,3558,350726,0000000,350,Beer Junction,Beer Junction,4511 CALIFORNIA AVE SW,98116
-122.221782049809,47.3237361286949,3559,350729,0000000,350,Belen,Belen,1833 AUBURN WAY N #0,98002
-122.349124119608,47.6110961694128,3560,350730,0000000,350,Bell Harbor Int Conference Ctr /  Restaurant,Bell Harbor Int Conference Ctr,2211 ALASKAN WAY,98121
-122.349124119608,47.6110961694128,3561,350731,0000000,350,Bell Harbor Intn'L - Banquet Kitchen - 2Nd Flr.,Bell Harbor Int Conference Ctr,2211 ALASKAN WAY,98121
-122.348965570321,47.6110097991634,3562,350732,0000000,350,Bell St Deli & Grocery,Bell St Deli & Grocery,2207 ALASKAN WAY,98121
-122.338199040333,47.4656800088284,3563,350735,0000000,350,Bella Luna Pizza And Pasta,Bella Luna Pizza And Pasta,243 SW 153RD ST,98166
-122.280282820099,47.6338317094675,3564,350736,0000000,350,Bella Viet Cafe,Bella Viet Cafe,4021 E MADISON ST,98112
-122.311620899767,47.3389132387543,3565,350737,0000000,350,Bellas Artes Bakery,Bellas Artes Bakery,29314 PACIFIC HWY S,98003
-122.203544780525,47.6103319793419,3566,350739,0000000,350,Belle Pastry,Belle Pastry,10246 MAIN ST A,98004
-122.145329540311,47.6320921492493,3567,350742,0000000,350,Bellevue Children'S Academy,Bellevue Children'S Academy,14600 NE 24TH ST,98007
-122.211044799631,47.6257657589873,3568,350743,0000000,350,Bellevue Christian School - Concession,Bellevue Christian School,1601 98TH AVE NE,98004
-122.211044799631,47.6257657589873,3569,350744,0000000,350,Bellevue Christian School - Main Kitchen,Bellevue Christian School,1601 98TH AVE NE,98004
-122.210476744735,47.5775797295962,3570,547,187602,180,Mercer Island City Hall,Mercer Island CH,9611 SE 36th,98040
-122.294044415619,47.4457201529418,3571,1803,402127,360,Quality Inn at Seatac,Quality Inn at Seatac,3000 S 176th St,98188
-122.323983915456,47.5988938928659,3572,1914,794002,480,Wing Luke Asian Museum,Wing Luke Asian Museum,8th Ave S & S King St,98104
-122.462549850547,47.4045633196112,3573,6005302,0000000,600,Marjorie R. Stanley Natural Area,Marjorie R. Stanley Natural Area,Vashon Hwy SW and SW 222nd St,98070
-122.335725990589,47.6178906280329,3574,1686,838647,60,Lenora 1000 Bldg,Lenora 1000 Bldg,1000 Lenora St,98121
-122.163653615765,47.75674267902,3575,799,81922,720,French Creek Cellars,French Creek Cellars,17721 132nd Ave NE,98072
-122.108699204408,47.4467018880891,3576,739,0000000,600,Public Fishing Rec Area,Public Fishing Rec Area,W Lake Desire Dr SE & 174th Ave SE,98058
-122.346816309597,47.6431239092968,3577,351319,0000000,350,Canlis Restaurant,Canlis Restaurant,2576 AURORA AVE N,98109
-122.316476320043,47.611269188915,3578,351320,0000000,350,Canon Whisky & Bitters Emporium,Canon Whisky & Bitters Emporium,928 12TH AVE,98122
-122.312421199568,47.6241956887616,3579,351322,0000000,350,Canterbury Ale House,Canterbury Ale House,534 15TH AVE E,98112
-122.34178948016,47.6102050786531,3580,351323,0000000,350,Cantina De San Patricios,Cantina De San Patricios,1914 POST ALY,98101
-122.2048950695,47.6102917792468,3581,351324,0000000,350,Cantinetta,Cantinetta,10038 Main ST,98004
-122.316998009359,47.5980587986793,3582,351326,0000000,350,Canton Noodle House,Canton Noodle House,506 12TH AVE S,98144
-122.129663609556,47.674790189341,3583,351328,0000000,350,Canyon'S Restaurant,Canyon'S Restaurant,15740 REDMOND WAY,98052
-122.335380520073,47.6082556589085,3584,351329,0000000,350,"Capital Grille; The  #8030","Capital Grille; The  #8030",1301 4TH AVE,98101
-122.317222869893,47.6058575288929,3585,351331,0000000,350,Capitol Hill Arco,Capitol Hill Chevron,427 12TH AVE,98122
-122.323188190143,47.572853068981,3586,351336,0000000,350,Caravan Crepes @,Caravan Crepes (Kc174),3429 AIRPORT WAY S,98134
-122.247105789484,47.3794215492186,3587,351337,0000000,350,Cardonza'S Market  - Meat,Cardoza'S Market,335 S WASHINGTON AVE,98032
-122.230461349683,47.7162224794939,3588,351341,0000000,350,Carl Sandburg Elementary,Carl Sandburg Elem School,12801 84TH AVE NE,98034
-122.321488770493,47.5442077592707,3589,351342,0000000,350,Carleton Grocery,Carleton Grocery,6601 CARLETON AVE S,98108
-121.912673339705,47.6495131390938,3590,351343,0000000,350,Carnation Cafe,Carnation Cafe,4760 TOLT AVE,98014
-121.916407000323,47.6471439994323,3591,351345,0000000,350,Carnation Market,Carnation Market,31722 W EUGENE ST,98014
-122.164431339915,47.5040539989348,3592,351347,0000000,350,Carniceria 'La Chiquita',Carniceria 'La Chiquita',1314 UNION AVE NE #9,98059
-122.314407950118,47.5997640486217,3593,351348,0000000,350,Carniceria Azteca,Carniceria Azteca,1265 S MAIN ST,98144
-122.354182430071,47.5165023988767,3594,351349,0000000,350,Carniceria El Paisan,Carniceria El Paisan,9629 15TH AVE SW,98106
-122.312381859996,47.7286639094861,3595,351350,0000000,350,"Caroline; The","Caroline; The",13702 15TH AVE NE,98125
-122.22786959952,47.394508289109,3596,351351,0000000,350,Carpinito Brothers Produce,Carpinito Brothers Produce,1148 N CENTRAL AVE,98032
-122.17935659584,47.3709083633513,3597,6600419,8602,665,Administration Center-Kent,Admin,12033 SE 256th St,98030
-122.310433383548,47.7449545114761,3598,6002264,184281,600,Hamlin Park,Hamlin Park,16006 15th Ave NE,98155
-122.119788064657,47.691700343217,3599,633,12148,661,Redmond Middle School,Redmond Middle,10055 166th Ave NE,98052
-122.259757560822,47.5108720001593,3600,6600652,525497,660,Amazing Grace Christian School,Amazing Grace,10056 Renton Ave S,98178
-122.195554092514,47.6552984293104,3601,6600694,8640,664,Emerson High School,Emerson,10903 NE 53rd St,98033
-122.334698957375,47.6090213821871,3602,1805,834125,60,Rainier Square,Rainier Square,1301 5th Ave,98101
-121.98679970669,47.7448283880417,3603,6005375,0000000,600,Taylors Landing Park,Taylors Landing Park,16201 Main Street NE,98019
-122.267428357012,47.5619312959938,3604,512,0000000,600,Lake Washington Boulevard,Lake Washington Park,NE 124th St & 89th Pl NE,98034
-122.34212332782,47.606309749198,3605,199,444044,600,Waterfront Park,Waterfront Park,Alaskan Way,98101
-122.378878351388,47.6954165995332,3606,1015,0000000,600,Soundview Playfield,Soundview Playfield,NW 90th St & 15th Ave NW,98117
-122.194652923131,47.6213173051624,3607,6006898,0000000,600,McCormick Park - Bellevue,McCormick Park - Bellevue,11190 NE 12th St,98004
-122.327156689479,47.6143261790804,3608,350787,0000000,350,Bensons Grocery,Bensons Grocery,320 E PIKE ST,98122
-122.339128279359,47.6259956991327,3609,351381,0000000,350,Cask & Trotter,Cask & Trotter,711 WESTLAKE AVE N,98109
-122.201045350232,47.6136202489755,3610,352190,0000000,350,Drive Thru Boba,Drive Thru Boba,10435 NE 4TH ST,98004
-122.198483288022,47.5184111372155,3611,2343,0000000,510,Kennydale Freeway Station,Kennydale Freeway Station,I-405 & NE 30th St,98056
-122.325823133139,47.4890732637576,3612,2750,0000000,510,Boulevard Park Freeway Station North,Blvd Pk Freeway St N,SR 509 & S 128th St,98168
-122.329545145521,47.763915546354,3613,2734,183831,600,Shoreline Center,Shoreline Center,18560 1st Ave NE,98155
-122.324305497106,47.5283249814772,3614,2735,514223,600,South Park Community Center,South Park CC,8319 8th Ave S,98108
